	Yritys	Kotipaikka	Toimiala	
05.05.2025	BP Yhtiöt Oy	Kauhajoki	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
05.05.2025	Bamba Abdul Salam	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Siivous A-Z	Kotka	81210 - Kiinteistöjen siivous	
05.05.2025	Arctic fixing	Rovaniemi	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
05.05.2025	KAC Rakennus Tmi	Porvoo	41200 - Asuin- ja muiden rakennusten rakentaminen	
05.05.2025	Aava Kuula	Jyväskylä	96021 - Parturit ja kampaamot	
05.05.2025	4Dog&Me Öppet Bolag	Luoto	47763 - Puutarha-alan vähittäiskauppa	
05.05.2025	Kumutalo Oy	Hämeenlinna	90040 - Taidelaitosten toiminta	
05.05.2025	Villa Kulmatimber Oy	Helsinki	55209 - Lomakylät yms. majoitus	
05.05.2025	AX Resell öppet bolag	Jomala		
05.05.2025	Vanamo Holding Oy	Helsinki	64200 - Rahoitusalan holdingyhtiöiden toiminta	
05.05.2025	Lauka Holding Oy	Helsinki	64200 - Rahoitusalan holdingyhtiöiden toiminta	
05.05.2025	Lumiwool Design	Kittilä	47782 - Valokuvausalan vähittäiskauppa	
05.05.2025	Faj Services	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Nessuno	Kirkkonummi	56102 - Kahvila-ravintolat	
05.05.2025	OÜ i7hen		43999 - Muu muualla luokittelematon erikoistunut rakennustoiminta	
05.05.2025	Slätholms avloppsandelslag	Lemland	37000 - Viemäri- ja jätevesihuolto	
05.05.2025	Vilhe Oy	Tampere	66190 - Muu rahoitusta palveleva toiminta (pl. vakuutus- ja eläkevakuutustoiminta)	
05.05.2025	EJS Invest Ab	Pietarsaari	64200 - Rahoitusalan holdingyhtiöiden toiminta	
05.05.2025	Vilkut Oy	Parkano	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
05.05.2025	Äärirajoilla Oy	Sastamala	60201 - Televisio-ohjelmien tuottaminen ja lähettäminen (pl. maksulliset tv-kanavat)	
05.05.2025	RK Forest Oy	Teuva	02200 - Puunkorjuu	
05.05.2025	Atlantic Boats	Turku		
05.05.2025	Lea Hopia	Helsinki	86909 - Muu terveyspalvelu	
05.05.2025	Suhada Ceylon motors	Joensuu	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
05.05.2025	Honkanen Anna Erika	Pudasjärvi	74300 - Kääntäminen ja tulkkaus	
05.05.2025	StoryWorld Incorporated Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
05.05.2025	DWS International GmbH		66300 - Omaisuudenhoitotoiminta	
05.05.2025	Pure Raw Bites Oy	Lohja	47764 - Lemmikkieläinten, niiden ruokien ja tarvikkeiden vähittäiskauppa	
05.05.2025	Hoitola Kritala	Mikkeli	86909 - Muu terveyspalvelu	
05.05.2025	Lambosam Oy	Mäntyharju	70220 - Muu liikkeenjohdon konsultointi	
05.05.2025	Moventra	Jyväskylä	86901 - Fysioterapia	
05.05.2025	Kesän Kukka Oy	Rauma	96022 - Kauneudenhoitopalvelut	
05.05.2025	Turun talonmies- ja huoltopalvelu	Turku		
05.05.2025	Valkea Technologies Oy	Vantaa	62010 - Ohjelmistojen suunnittelu ja valmistus	
05.05.2025	Kärki Asko Sakari	Tampere	02100 - Metsänhoito	
05.05.2025	AI Helppi Oy	Tampere	70220 - Muu liikkeenjohdon konsultointi	
05.05.2025	Lavikka Lauri Johannes	Savitaipale	01110 - Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely	
05.05.2025	SAWOSTEEL Oy	Savonlinna	25110 - Metallirakenteiden ja niiden osien valmistus	
05.05.2025	Valttari Housing & Sales Oy	Kemi	55101 - Hotellit	
05.05.2025	Ojanen Lauri Kalevi Hannunpoika	Lohja	74201 - Valokuvaamot ja muu kuvaustoiminta	
05.05.2025	Kuusi veljestä Oy	Helsinki	71201 - Autokatsastus	
05.05.2025	ATIM Antti Timonen	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
05.05.2025	Flavora Pronto Oy	Helsinki	56102 - Kahvila-ravintolat	
05.05.2025	Haidari Ehsan	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Helli Consulting Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
05.05.2025	Ristilä Creative Oy	Tampere	74201 - Valokuvaamot ja muu kuvaustoiminta	
05.05.2025	Tmi Jersa	Lohja	45191 - Kuorma-autojen ja muiden raskaiden moottoriajoneuvojen tukkukauppa	
05.05.2025	AVK Standby (Finland) Oy	Helsinki	82990 - Muut palvelut liike-elämälle	
05.05.2025	ApuMate Oy	Helsinki	58290 - Muu ohjelmistojen kustantaminen	


Päivämäärä	Yritys	Kotipaikka	Toimiala	
05.05.2025	Zepti Arts	Turku	90030 - Taiteellinen luominen	
05.05.2025	ArtNord	Helsinki	49410 - Tieliikenteen tavarankuljetus	
05.05.2025	Kipine	Tampere	90030 - Taiteellinen luominen	
05.05.2025	DURIEUX COMMUNICATION SRL		82300 - Messujen ja kongressien järjestäminen	
05.05.2025	PEARL Goup Oy	Espoo	86909 - Muu terveyspalvelu	
05.05.2025	Fysio Koivisto Oy	Lahti	86901 - Fysioterapia	
05.05.2025	Ibadi Ali Hameed	Vantaa	49410 - Tieliikenteen tavarankuljetus	
05.05.2025	Hehkua Oy	Kuusamo	69201 - Kirjanpito- ja tilinpäätöspalvelu	
05.05.2025	Immortal Esthetics Oy	Kajaani	96022 - Kauneudenhoitopalvelut	
05.05.2025	Haliti Bujar	Helsinki	52299 - Muu kuljetusvälitys	
05.05.2025	Tmi Anna Tomperi	Ruovesi	02400 - Metsätaloutta palveleva toiminta	
05.05.2025	No Brainer Invest Oy	Tampere	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
05.05.2025	KajastusPlus Oy	Kokkola	88101 - Kotipalvelut ikääntyneille ja vammaisille	
05.05.2025	Språksystrarna Ab	Vaasa	86909 - Muu terveyspalvelu	
05.05.2025	Kiinteistöosakeyhtiö Kelatie 21, Oulu	Espoo	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
05.05.2025	Lasiturva Oy	Tampere	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
05.05.2025	Oleh Shuliakov Tmi	Turku	30110 - Laivojen ja kelluvien rakenteiden rakentaminen	
05.05.2025	Abebe Samuel Tesema	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Wavy Aaltonen	Helsinki	56103 - Ruokakioskit	
05.05.2025	Lars Jakob Erik Krogius konkurssipesä	Hämeenlinna	55101 - Hotellit	
05.05.2025	YAARUP.RM	Turku	49320 - Taksiliikenne	
05.05.2025	Northmania Oy	Helsinki	58110 - Kirjojen kustantaminen	
05.05.2025	M&D Style	Mikkeli	96021 - Parturit ja kampaamot	
05.05.2025	Anton & Alvar	Espoo	82200 - Puhelinpalvelukeskusten toiminta	
05.05.2025	JULY PALVELUT	Kiuruvesi	02100 - Metsänhoito	
05.05.2025	Korea Mart	Helsinki	47199 - Pienoistavaratalot ja muut erikoistumattomat myymälät (alle 2500 m2)	
05.05.2025	FivePack Oy	Helsinki	47990 - Muu vähittäiskauppa muualla kuin myymälöissä	
05.05.2025	Asuntohorisontti Oy	Helsinki	68310 - Kiinteistönvälitys	
05.05.2025	Maatila Kankkulan kaivo	Hämeenlinna	01110 - Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely	
05.05.2025	Aethon Environmental Technology Oy	Helsinki	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
05.05.2025	Sankareh Saihou	Kuopio	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Keinänen Miro Topias	Tornio	41200 - Asuin- ja muiden rakennusten rakentaminen	
05.05.2025	Lohjan Tähti Oy	Helsinki	56102 - Kahvila-ravintolat	
05.05.2025	Stoutway Solutions Oy	Sodankylä	72193 - Tekniikan tutkimus ja kehittäminen	
05.05.2025	We Works Oy	Tampere	56101 - Ravintolat	
05.05.2025	Engwoh Neville Embakwa	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Emma Sokkanen Tmi	Helsinki	72200 - Yhteiskuntatieteellinen ja humanistinen tutkimus ja kehittäminen	
05.05.2025	Anttila Lotta Maria Serafina	Vaasa	02100 - Metsänhoito	
05.05.2025	Mäkelä Nea Katariina	Vantaa	49410 - Tieliikenteen tavarankuljetus	
05.05.2025	Kimmo Markus Malmgren konkurssipesä	Vantaa	47301 - Huoltamotoiminta	
05.05.2025	Nokka Solutions Oy	Helsinki	49420 - Muuttopalvelut	
05.05.2025	Sevila Oy	Kuopio	64200 - Rahoitusalan holdingyhtiöiden toiminta	
05.05.2025	Vesa Immonen Oy	Kuopio	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
05.05.2025	Heidari Feiz Mohammad	Sipoo	78200 - Työvoiman vuokraus	
05.05.2025	Kiwine Oy	Naantali	46340 - Alkoholi- ja muiden juomien tukkukauppa	
05.05.2025	Moomart Oy	Lohja	47114 - Elintarvike-, makeis- ym. kioskit (alle 100 m2)	
05.05.2025	Metsä-Nurmi Oy	Hämeenlinna	02200 - Puunkorjuu	
05.05.2025	MTS VUOKRA RAKENNUKSET Oy	Kotka	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
05.05.2025	Khalil Palvelu	Helsinki	49320 - Taksiliikenne	
05.05.2025	Transliitto ry	Pori		
05.05.2025	Dewappu Hettithanthrige Don Umila Ishan	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
05.05.2025	Tiijätsie Consulting Oy	Lappeenranta	70220 - Muu liikkeenjohdon konsultointi	
05.05.2025	TT-taksi Emilia Tenhunen	Vihti	49320 - Taksiliikenne	
05.05.2025	myyrmanni teppan oy	Vantaa	56101 - Ravintolat	
05.05.2025	PKK Sähkö Oy	Kokkola		
05.05.2025	Amosov Maksim	Turku	73111 - Mainostoimistot	
05.05.2025	RainStein Rakennuspalvelut	Espoo	41200 - Asuin- ja muiden rakennusten rakentaminen	
04.05.2025	Lempäälän RT-toiminnan tuki ry	Lempäälä		
04.05.2025	Florea Petru	Laitila	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Pöntinen Kimmo Kristian	Kouvola	43910 - Kattorakenteiden asennus ja kattaminen	
04.05.2025	Vaghani Siddharth	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Cojocari Serafim	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Pöntinen Petri Juhani	Kouvola	43910 - Kattorakenteiden asennus ja kattaminen	
04.05.2025	Kunitcyn Konstantin	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Orisajuyigbe Omolebi Oluwaseun	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Jaman Mohammed Shahaduj	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Dolphyne Geraldine Nana Mai	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Adam Abdelrahman Ahmad	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Kaukko Reijo Kalervo	Vantaa	02100 - Metsänhoito	
04.05.2025	Shrestha Nitesh	Kouvola	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Hawilo Hasan	Lahti	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Arafat Easir	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Khan Usama	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Hettiarachchi Uvindu Jamitha	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Ranttila Siiri Elli Eerika	Helsinki	75000 - Eläinlääkintäpalvelut	
04.05.2025	Riaz Atiya	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Björklund Maja Stina	Vöyri	02100 - Metsänhoito	
04.05.2025	Rantalainen Atte Mikael	Espoo	70220 - Muu liikkeenjohdon konsultointi	
04.05.2025	Ahammad Jishan	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Raunio Kirsi-Maria	Helsinki	90030 - Taiteellinen luominen	
04.05.2025	Kumar Amit	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Yahaya Yinusa Olawale	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Macari Nicolae	Laitila	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Afzal Mohammad Ali	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Kostrach Ivan	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Ashraf Rizwan	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Poterasu Sorin-Viorel	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Mohammed Hadi	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Ruskon Liikennepuisto Ry	Rusko		
04.05.2025	Uddin K M Kutub	Joensuu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Mariele Yoga	Helsinki	85510 - Urheilu- ja liikuntakoulutus	
04.05.2025	Anima Profunda	Geta	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
04.05.2025	Tmi Jevel	Espoo		
04.05.2025	Työnohjaus Päivi Janatuinen, Työnohjaus ja konsultointi	Kempele	70220 - Muu liikkeenjohdon konsultointi	
04.05.2025	Tuula Oksanen tmi	Sodankylä		
04.05.2025	Nazmin Enterprises	Lahti	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Arttu Komulainen	Kuopio	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
04.05.2025	Karvisenmäki	Kitee	01250 - Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely	
04.05.2025	Smashly Oy	Helsinki	32300 - Urheiluvälineiden valmistus	
04.05.2025	Taito Consulting Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	

Päivämäärä	Yritys	Kotipaikka	Toimiala	
04.05.2025	Hard Fun Co. Oy	Imatra	70220 - Muu liikkeenjohdon konsultointi	
04.05.2025	Nudi Oy	Turku	47912 - Vaatteiden postimyynti ja verkkokauppa	
04.05.2025	Rami Johanson Tmi	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
04.05.2025	Nasir Nouman	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Beanflow Oy	Lempäälä		
04.05.2025	Ilham Palvelut	Kerava	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Summaxi Oy	Nurmijärvi	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
04.05.2025	TreA Sijoitus Oy	Oulu	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
04.05.2025	HorecaPartner Henkilöstöpalvelut Oy	Tampere	78200 - Työvoiman vuokraus	
04.05.2025	Tiigi Tanel	Vantaa	52299 - Muu kuljetusvälitys	
04.05.2025	Lindblom Malin Ramona	Porvoo	18200 - Ääni-, kuva- ja atk-tallenteiden tuotanto	
04.05.2025	Rinne Benjamin Alexander	Espoo	70220 - Muu liikkeenjohdon konsultointi	
04.05.2025	Makipa	Helsinki	81100 - Kiinteistönhoito	
04.05.2025	Talja Taisto Johannes	Hollola	02400 - Metsätaloutta palveleva toiminta	
04.05.2025	Takanen Iida-Mari Annikki	Joensuu	02100 - Metsänhoito	
04.05.2025	Metsätyö Pollari	Kaustinen	02100 - Metsänhoito	
04.05.2025	Katto- ja Rakennusurakointi Niemenmaa Oy	Ikaalinen	41200 - Asuin- ja muiden rakennusten rakentaminen	
04.05.2025	Helminen Jesse Markus	Järvenpää	78300 - Muut henkilöstön hankintapalvelut	
04.05.2025	Tahkola Aava Lumia	Kempele	81299 - Muualla luokittelemattomat siivouspalvelut	
04.05.2025	HockeyCoach Rasmus Vuopio	Helsinki	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
04.05.2025	Mehrdad Delivery	Seinäjoki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	TamGrass Oy	Akaa	81300 - Maisemanhoitopalvelut	
04.05.2025	FK Boatserv Oy	Helsinki	33150 - Laivojen ja veneiden korjaus ja huolto	
04.05.2025	Lamminaho Jani Otto Juhani	Nurmijärvi	02200 - Puunkorjuu	
04.05.2025	Kisukahvila Oy	Pielavesi	56302 - Kahvilat ja kahvibaarit	
04.05.2025	Lilystream Ab	Vaasa	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
04.05.2025	Itä Vantaan Monikulttuurinen Yhteisö Ry	Vantaa		
04.05.2025	Abdus Salique Numaer	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Tmi Maaret Lehtosaari-Vikstedt	Oulu	86220 - Lääkäriasemat, yksityislääkärit ja vastaavat erikoislääkäripalvelut	
04.05.2025	Tmi Olli Vanamo	Savitaipale	56102 - Kahvila-ravintolat	
04.05.2025	Tmi Nea Ksenzak	Porvoo	10710 - Leivän valmistus; tuoreiden leivonnaisten ja kakkujen valmistus	
04.05.2025	VE-Holding Oy	Espoo	70220 - Muu liikkeenjohdon konsultointi	
04.05.2025	Ateljee a Oy	Helsinki	74102 - Sisustussuunnittelu	
04.05.2025	Emily Styling	Helsinki	96021 - Parturit ja kampaamot	
04.05.2025	Oy Pesu Ab	Helsinki	96011 - Pesulapalvelut yrityksille	
04.05.2025	Sampen Oy	Tampere	64200 - Rahoitusalan holdingyhtiöiden toiminta	
04.05.2025	Flow & Pressure Oy	Tampere	85510 - Urheilu- ja liikuntakoulutus	
04.05.2025	Haanpää Onni Iisakki	Vaasa	43341 - Maalaus	
04.05.2025	JRK Capital Oy	Parainen	41200 - Asuin- ja muiden rakennusten rakentaminen	
04.05.2025	MM Parturi Oy	Salo	96021 - Parturit ja kampaamot	
04.05.2025	Eklund Daniela Viivi Vanessa	Joensuu	02100 - Metsänhoito	
04.05.2025	Petra Jukkara	Tuusula	96021 - Parturit ja kampaamot	
04.05.2025	Seppälä Meri Helena	Hämeenlinna	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Annen lemmikkieläinten hoivapalvelut	Inkoo	01499 - Muu eläinten hoito	
04.05.2025	Pakene Oy	Kaarina	93299 - Muualla luokittelematon huvi- ja virkistystoiminta	
04.05.2025	Goncear Anatolie	Laitila	10820 - Kaakaon, suklaan ja makeisten valmistus	
04.05.2025	Naseer Hassan	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
04.05.2025	Nadeem Anus	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Tampere Sporting ry	Tampere		
03.05.2025	Kirkas Ilmajärvi ry	Ruokolahti		
03.05.2025	Salvation To All Nations ry	Vantaa		
03.05.2025	Kirkkonummen Kamppailijat ry	Kirkkonummi		
03.05.2025	Mehari Amanuel	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Aryal Sabin	Seinäjoki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Kettunen Patrik Santeri	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Shrestha Jeetman	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Isman Odawaa Muhammad	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Shawon Md Imran	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	David Naomi	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Lahdo Rami	Kaarina	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Alemayehu Abera Mengstu	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Dhakal Dinita	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Piliskó Brigitta Margit	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Youla Oualid	Riihimäki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Pabel Md Ariful Islam	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Ibrahim Saleh Baram	Tornio	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Daniel Fortune Emeke	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Hassan Jamaal Isse	Raisio	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Feizabadi Mohammadsaeed	Kemi	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Ammar Muhammad Hassan	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Roy Kishor Kumar	Espoo	49320 - Taksiliikenne	
03.05.2025	Babenko Liudmyla	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Tamal Kamruzzaman	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Pritom Sushmit Saha	Kuopio	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Silvera Amit Kantibhai	Valkeakoski	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Ranjit Sandip	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Fkadu Yohannes	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Ahvenus Tuomas Wilhelm	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Kanerva Laura Eveliina	Helsinki	75000 - Eläinlääkintäpalvelut	
03.05.2025	Dang Duy Thanh	Vantaa	96022 - Kauneudenhoitopalvelut	
03.05.2025	Abdullah Muhammad	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Gunawardana Mudalige Dushani Navindra	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Keas Mohammad Safiul Tamzid	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Singh Kulveer	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Oko Nwachara Ernest	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Kangara Pathirannahalage Udakara Vishwajith	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Tesfay Tsegay Medhanie	Turku	49320 - Taksiliikenne	
03.05.2025	Katwal Bibek	Seinäjoki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Toisaalla ry	Helsinki		
03.05.2025	Team Erikstorp Oy	Turku	93190 - Muu urheilutoiminta	
03.05.2025	Ramin metsät	Nurmijärvi		
03.05.2025	Eliel Lintula tmi	Kaarina	90010 - Esittävät taiteet	
03.05.2025	Eläinlääkäri JSA	Helsinki	75000 - Eläinlääkintäpalvelut	
03.05.2025	Boman Elias Tmi	Helsinki	73119 - Muu mainospalvelu	
03.05.2025	Miska Klaavo TMI	Helsinki		
03.05.2025	Kirvesniemi Creative	Sipoo	74201 - Valokuvaamot ja muu kuvaustoiminta	
03.05.2025	House Of Joose	Helsinki	01499 - Muu eläinten hoito	
03.05.2025	Skröbbel-Gåbbana rf	Parainen		
03.05.2025	Arto Muukkonen Invest & Consulting Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
03.05.2025	TJF Palvelut Oy	Vantaa	49410 - Tieliikenteen tavarankuljetus	

Päivämäärä	Yritys	Kotipaikka	Toimiala	
03.05.2025	Vincent Group Oy	Vantaa	71126 - Muu rakennustekninen palvelu	
03.05.2025	TrueCount Oy	Helsinki	69201 - Kirjanpito- ja tilinpäätöspalvelu	
03.05.2025	Nagaju Soniya	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Aariz Taksi	Helsinki	49320 - Taksiliikenne	
03.05.2025	GolfClean Oy	Helsinki	81299 - Muualla luokittelemattomat siivouspalvelut	
03.05.2025	Medi Colleague Oy	Vantaa	86210 - Terveyskeskus- ja vastaavat yleislääkäripalvelut	
03.05.2025	MindVent Oy	Turku	86909 - Muu terveyspalvelu	
03.05.2025	Kaiken A ja Oy	Tyrnävä	66220 - Vakuutusasiamiesten ja -välittäjien toiminta	
03.05.2025	KC Living Oy	Helsinki	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
03.05.2025	Lehtinen Esa Juhani	Kouvola	02100 - Metsänhoito	
03.05.2025	Mäkelä Vilho Tapani	Rovaniemi	02100 - Metsänhoito	
03.05.2025	Diva Creative	Helsinki	90030 - Taiteellinen luominen	
03.05.2025	Anan Talli	Leppävirta	47641 - Urheiluvälineiden ja polkupyörien vähittäiskauppa	
03.05.2025	Vire go	Helsinki	93190 - Muu urheilutoiminta	
03.05.2025	DAV	Mikkeli	96021 - Parturit ja kampaamot	
03.05.2025	KKOY Kauppahuone Holvi	Kangasniemi	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
03.05.2025	Zoroglu Mehmet Fatih	Vihti	56101 - Ravintolat	
03.05.2025	MechaVoltti solutions oy	Turku	22290 - Muiden muovituotteiden valmistus	
03.05.2025	Arvo Express Oy	Espoo	49320 - Taksiliikenne	
03.05.2025	Golf Factory Oy	Helsinki	47919 - Muu postimyynti ja verkkokauppa	
03.05.2025	Vinpa	Helsinki	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
03.05.2025	Tuiska Oy	Hämeenlinna	90030 - Taiteellinen luominen	
03.05.2025	Paidal	Helsinki	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
03.05.2025	Joshi Ravi Shankar	Helsinki	56290 - Henkilöstö- ja laitosruokalat	
03.05.2025	Jolin Robotics Oy Ab	Pyhäranta	71127 - Kone- ja prosessisuunnittelu	
03.05.2025	Savorya Oy	Espoo		
03.05.2025	Saunamäki Lähileipomo Oy	Äänekoski	10710 - Leivän valmistus; tuoreiden leivonnaisten ja kakkujen valmistus	
03.05.2025	Stella Ompelimo	Kirkkonummi	14190 - Muiden vaatteiden ja asusteiden valmistus	
03.05.2025	Goksu Metin	Porvoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Kirjoitan Pauliina Puhakka	Joutsa	85600 - Koulutusta palveleva toiminta	
03.05.2025	F&F Holding Oy	Oulu	70220 - Muu liikkeenjohdon konsultointi	
03.05.2025	FOOTED Oy	Jyväskylä	47912 - Vaatteiden postimyynti ja verkkokauppa	
03.05.2025	Keijunmekko	Kärkölä	81210 - Kiinteistöjen siivous	
03.05.2025	Sifat Mohammad Amirul Islam	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
03.05.2025	Bloigu Martti Miro Mikael	Helsinki	74201 - Valokuvaamot ja muu kuvaustoiminta	
03.05.2025	Team AF1	Turku	93130 - Kuntokeskukset	
03.05.2025	KoneKyyti Oy	Tuusula	49410 - Tieliikenteen tavarankuljetus	
